ID,Type,Module,Topic,Difficulty,DifficultyValue,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,CurriculumMapID,CourseCode,Subtopic,Discrimination,Guessing,Active,ExposureCount,AttemptCount,CorrectCount,AverageTimeSeconds,Explanation,LearningOutcome
638,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Easy,1,The temp of the fluid flowing under pressure through a pipe is usually measured by:,All of the above,An electric resistance thermometer,A thermocouple,A glass thermometer,A,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"The correct answer is All of the above. This item checks the accepted term, value, or principle used in Heat Transfer.","Explain key concepts, terms, and operating principles under Heat Transfer."
648,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Easy,1,What do bodies at a temperature above absolute zero emit?,Thermal radiation,Heat of convection,Heat of compression,Energy,A,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"The correct answer is Thermal radiation. This item checks the accepted term, value, or principle used in Heat Transfer.","Explain key concepts, terms, and operating principles under Heat Transfer."
677,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Easy,1,A body radiates heat proportional to the fourth power of its absolute temperature:,Stefan-Boltzmann law,Planck’s law,Kirchhoff’s law,Maxwell’s law,A,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"The correct answer is Stefan-Boltzmann law. This item checks the accepted term, value, or principle used in Heat Transfer.","Explain key concepts, terms, and operating principles under Heat Transfer."
678,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Medium,3,"All substances emit radiation, the quantity and quality of which depends upon the absolute temperature and the properties of the material, composing the radiating body.",Planck’s law,Maxwell’s law,Kirchhoff’s law,Stefan-Boltzmann law,A,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"The correct answer is Planck’s law. This item checks the accepted term, value, or principle used in Heat Transfer.","Explain key concepts, terms, and operating principles under Heat Transfer."
679,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Medium,3,"For bodies in thermal equilibrium with their environment, the ratio of total emissive power to the absorptivity is constant at any temperature.",Kirchhoff’s law,Planck’s law,Maxwell’s law,Stefan-Boltzmann law,A,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"The correct answer is Kirchhoff’s law. This item checks the accepted term, value, or principle used in Heat Transfer.","Explain key concepts, terms, and operating principles under Heat Transfer."
698,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Medium,3,The transfer of air and air characteristics by horizontal motion is called,Convection,Air transfer,Advection,Adhesion,C,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"The correct answer is Advection. This item checks the accepted term, value, or principle used in Air Conditioning / Heat Transfer.","Explain key concepts, terms, and operating principles under Heat Transfer."
819,Elements,Module 4 - Industrial Plant Design,Industrial Plant Design,Medium,3,Which of the following is an example of regenerator?,A counter flow heat exchanger,A cross flow heat exchanger,A mixed flow heat exchanger,A parallel flow heat exchanger,B,PRC-PPE-28-Heat-Transfer-Equipment,M312,Heat Transfer Equipment,1.35,0.25,TRUE,0,0,0,0,"The correct answer is A cross flow heat exchanger. This item checks the accepted term, value, or principle used in Heat Transfer Equipment.","Explain key concepts, terms, and operating principles under Heat Transfer Equipment."
842,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Medium,3,All of the following mechanism can supply heat to a thermodynamic system except,Conduction,Natural convection,Adiabatic expansion,Radiation,C,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"The correct answer is Adiabatic expansion. This item checks the accepted term, value, or principle used in Heat Transfer.","Explain key concepts, terms, and operating principles under Heat Transfer."
961,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Medium,3,All of the following terms describe radiation lines from transitions of electrons in an atom except,Sharp,Principal,Obtuse,Fundamental,C,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"The correct answer is Obtuse. This item checks the accepted term, value, or principle used in General Physics.","Explain key concepts, terms, and operating principles under Heat Transfer."
1050,Elements,Module 4 - Industrial Plant Design,Industrial Plant Design,Easy,1,Steam traps are ____ devices,Manual,Automatic,Electrical,Semiautomatic,B,PRC-PPE-28-Heat-Transfer-Equipment,M312,Heat Transfer Equipment,1.35,0.25,TRUE,0,0,0,0,"The correct answer is Automatic. This item checks the accepted term, value, or principle used in Heat Transfer Equipment.","Explain key concepts, terms, and operating principles under Heat Transfer Equipment."
1106,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Medium,3,The combustion process must be complete before the gases combustion come in contact with the:,Atmosphere,Superheater,Heating surface,Main steam outlet,C,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"The correct answer is Heating surface. This item checks the accepted term, value, or principle used in Heat Transfer.","Explain key concepts, terms, and operating principles under Heat Transfer."
1110,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Easy,1,Radiation is:,The movement of liquids or gases created by a temperature difference,The transfer of heat by direct molecular contact,The weight of the substance compared to unity,A form of heat transfer,D,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"The correct answer is A form of heat transfer. This item checks the accepted term, value, or principle used in Heat Transfer.","Explain key concepts, terms, and operating principles under Heat Transfer."
1116,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Easy,1,Heat may be transferred in how many ways?,One,Three,Two,Four,B,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"The correct answer is Three. This item checks the accepted term, value, or principle used in Heat Transfer.","Explain key concepts, terms, and operating principles under Heat Transfer."
1198,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Medium,3,The velocity of radiation (v) and the frequency of radiations (f) are related to the wavelength of radiations by:,v/f,f/v,vf,v2f,A,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"The correct answer is v/f. This item checks the accepted term, value, or principle used in Heat Transfer / Nuclear Power Plant.","Explain key concepts, terms, and operating principles under Heat Transfer."
1252,Elements,Module 4 - Industrial Plant Design,Industrial Plant Design,Medium,3,"Refers to the high – temperature removal of tarry substances from the interior of the carbon granule, leaving a highly porous structure",Absorbent,Activated,Breakthrough,Adsorbent,B,PRC-PPE-28-Heat-Transfer-Equipment,M312,Heat Transfer Equipment,1.35,0.25,TRUE,0,0,0,0,"The correct answer is Activated. This item checks the accepted term, value, or principle used in Heat Transfer Equipment.","Explain key concepts, terms, and operating principles under Heat Transfer Equipment."
1253,Elements,Module 4 - Industrial Plant Design,Industrial Plant Design,Medium,3,"A substance with high surface area per unit weight, intricate pore structure, and a hydrophobic surface is called a/an:",Adsorbent,Absorbent,Homogeneous substance,Catalyst,A,PRC-PPE-28-Heat-Transfer-Equipment,M312,Heat Transfer Equipment,1.35,0.25,TRUE,0,0,0,0,An adsorbent has a large surface area and porous structure that allow molecules to adhere to its surface.,"Explain key concepts, terms, and operating principles under Heat Transfer Equipment."
1514,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Easy,1,"The rate of radiant energy, that is emitted by a surface at any temperature and in small wavelengths is found from the known rate of energy, that under the same conditions will be emitted from a black surface, by multiplying with the absorptivity. The above enunciation is called:",Lambert’s law,Kirchhoff’s law,Planck’s law,Stefan Boltzmann’s law,B,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"The correct answer is Kirchhoff’s law. This item checks the accepted term, value, or principle used in Heat Transfer.","Explain key concepts, terms, and operating principles under Heat Transfer."
1516,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Easy,1,All heat transfer processes:,Involve transfer of energy,Involve temperature difference between the bodies,Obey first law of thermodynamics,Obey second law of thermodynamics,B,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"The correct answer is Involve temperature difference between the bodies. This item checks the accepted term, value, or principle used in Heat Transfer.","Explain key concepts, terms, and operating principles under Heat Transfer."
1517,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Easy,1,What is thermal diffusivity?,A mathematical formula,A physical property of the material,A configuration for heat conduction,A dimensionless parameter,B,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"The correct answer is A physical property of the material. This item checks the accepted term, value, or principle used in Heat Transfer.","Explain key concepts, terms, and operating principles under Heat Transfer."
1518,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Easy,1,Which of the following is a unit of thermal diffusivity?,M^2/hr,Kcal/m^2hr ˚C,Kcal/m^2,M^2/hr ˚C,A,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"The correct answer is M^2/hr. This item checks the accepted term, value, or principle used in Heat Transfer.","Explain key concepts, terms, and operating principles under Heat Transfer."
1519,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Easy,1,Non-isotropic conductivity is shown by which of the following?,Brass,Copper,Wood,Steel,C,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"The correct answer is Wood. This item checks the accepted term, value, or principle used in Heat Transfer.","Explain key concepts, terms, and operating principles under Heat Transfer."
1520,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Easy,1,For glass wool thermal conductivity changes from sample to sample due changes in:,Structure,Density,Composition,All of the above,D,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"The correct answer is All of the above. This item checks the accepted term, value, or principle used in Heat Transfer.","Explain key concepts, terms, and operating principles under Heat Transfer."
1521,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Easy,1,Which of the following is the S.I. unit of thermal conductivity?,W/m-hr-K,W/m K,KJ/m-hr-C,W/m-hr –C,C,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"The correct answer is KJ/m-hr-C. This item checks the accepted term, value, or principle used in Heat Transfer.","Explain key concepts, terms, and operating principles under Heat Transfer."
1522,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Easy,1,"At ordinary engineering conditions, what approximate Prandtl number is commonly used for air?",10,6.7,67,0.7,D,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"Air has a Prandtl number close to 0.7 at ordinary temperatures, meaning momentum diffusivity is slightly less than thermal diffusivity.",Recall typical dimensionless-property values used in convection calculations.
1523,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Easy,1,"According to Prevost theory of heat exchange,",It is impossible to transfer heat from low temperature source to high temperature source.,Heat transfer by radiation needs no medium,All bodies above absolute zero emit radiation,"Heat transfer in most cases occurs by combination of conduction, convection and radiation.",C,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"The correct answer is All bodies above absolute zero emit radiation. This item checks the accepted term, value, or principle used in Heat Transfer.","Explain key concepts, terms, and operating principles under Heat Transfer."
1524,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Easy,1,Thermal conductivity of wood depends on which of the following:,Moisture,Temperature,Density,All of the above,D,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"The correct answer is All of the above. This item checks the accepted term, value, or principle used in Heat Transfer.","Explain key concepts, terms, and operating principles under Heat Transfer."
1525,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Easy,1,A fur coat on an animal will help the animal to remain;,Warm in winter,Cool in winter,Warm in summer,Cool in summer,A,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"The correct answer is Warm in winter. This item checks the accepted term, value, or principle used in Heat Transfer.","Explain key concepts, terms, and operating principles under Heat Transfer."
1527,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Easy,1,By which of the following modes of heat transfer is Stefan-Boltzmann law applicable?,Conduction,Radiation,Conduction and radiation combined,Convection,B,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"The correct answer is Radiation. This item checks the accepted term, value, or principle used in Heat Transfer.","Explain key concepts, terms, and operating principles under Heat Transfer."
1528,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Easy,1,At all wavelengths and temperatures the monochromatic emissivity of a white body is equal to:,0.5,Unity,0.1 - 0.5,Zero,D,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"The correct answer is Zero. This item checks the accepted term, value, or principle used in Heat Transfer.","Explain key concepts, terms, and operating principles under Heat Transfer."
1529,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Easy,1,The radiation from flames is having,Continuous radiation from burning soot particles of microscopic and submicroscopic dimensions,"Radiation from suspended larger particles of coal, coke, or ash contributing to flame luminos",Infrared radiation from water vapor and carbon dioxide,All of the above,D,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"The correct answer is All of the above. This item checks the accepted term, value, or principle used in Heat Transfer.","Explain key concepts, terms, and operating principles under Heat Transfer."
1530,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Easy,1,The statement that emissivity and absorptivity of a surface is surrounded by its own temperature the same for both monochromatic and total radiation is called:,Lambert’s Law,Kirchoff’s Law,D’Alambart’s,Law of emissivity,B,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"The correct answer is Kirchoff’s Law. This item checks the accepted term, value, or principle used in Heat Transfer.","Explain key concepts, terms, and operating principles under Heat Transfer."
1532,Elements,Module 4 - Industrial Plant Design,Industrial Plant Design,Easy,1,"In regenerator type heat exchanger, heat transfer occurs by:",Direct mixing of hot and cold fluids,A complete separation between hot and cold fluids,Cold and hot fluids alternately over a surface,Generation of heat again and again,C,PRC-PPE-28-Heat-Transfer-Equipment,M312,Heat Transfer Equipment,1.35,0.25,TRUE,0,0,0,0,"The correct answer is Cold and hot fluids alternately over a surface. This item checks the accepted term, value, or principle used in Heat Transfer Equipment.","Explain key concepts, terms, and operating principles under Heat Transfer Equipment."
1533,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Easy,1,Least value of Prandtl number can be expected in case of ____________.,Liquid metals,Sugar solution,Salt solution,Water,A,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,The correct answer is Liquid metals. It best matches the stated operating requirement or equipment characteristic in Heat Transfer.,Select appropriate Heat Transfer components or operating conditions based on stated requirements.
1534,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Medium,3,“The boiling point of a solution is a linear function of water at the same pressure.” The above statement is called _________.,Dubring’s rule,Petit and Dulong’s law,Fick’s rule,Reynolds law,A,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"The correct answer is Dubring’s rule. This item checks the accepted term, value, or principle used in Dryers / Heat Transfer Equipment.","Explain key concepts, terms, and operating principles under Heat Transfer."
1535,Elements,Module 4 - Industrial Plant Design,Industrial Plant Design,Easy,1,Floating heads are provided in heat exchangers to,Increase the pressure drop,Decrease the pressure drop,Facilitate maintenance,Avoid deformation of tubes because of thermal expansion,D,PRC-PPE-28-Heat-Transfer-Equipment,M312,Heat Transfer Equipment,1.35,0.25,TRUE,0,0,0,0,"The correct answer is Avoid deformation of tubes because of thermal expansion. This item checks the accepted term, value, or principle used in Heat Transfer Equipment.","Explain key concepts, terms, and operating principles under Heat Transfer Equipment."
1537,Elements,Module 4 - Industrial Plant Design,Industrial Plant Design,Medium,3,"In heat exchanger design, one transfer unit implies:",One fluid which is exchanging with another fluid of the same chemical composition,The section of heat exchanger which will cause temperature drop of one degree centigrade,The section of heat exchanger where heat transfer surface area has been one square meter,Condition when the change in temperature of one steam is numerically equal to the average driving force,D,PRC-PPE-28-Heat-Transfer-Equipment,M312,Heat Transfer Equipment,1.35,0.25,TRUE,0,0,0,0,The correct answer is Condition when the change in temperature of one steam is numerically equal to the average driving force. It best matches the stated operating requirement or equipment characteristic in Heat Transfer Equipment.,Select appropriate Heat Transfer Equipment components or operating conditions based on stated requirements.
1538,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Easy,1,Dritus Boelter equation can be applied in case of fluids flowing in:,Transition region,Turbulent region,Laminar region,Any of the above,B,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"The correct answer is Turbulent region. This item checks the accepted term, value, or principle used in Heat Transfer.","Explain key concepts, terms, and operating principles under Heat Transfer."
1539,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Easy,1,In sugar mills can just is evaporated in:,Zigzag tube evaporators,Long vertical tube evaporators,Short vertical tube evaporators,Horizontal tube evaporator,B,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"The correct answer is Long vertical tube evaporators. This item checks the accepted term, value, or principle used in Dryers / Heat Transfer Equipment.","Explain key concepts, terms, and operating principles under Heat Transfer."
1540,Elements,Module 4 - Industrial Plant Design,Industrial Plant Design,Easy,1,A 1-2 heat exchanger refers to which of the following?,Single pass on shell side and double pass on the tube side,Single pass on tube side and double pass on shell side,Single liquid cools two liquids at different temperature,Two tubes of cold fluid pass through one tube of hot fluid.,A,PRC-PPE-28-Heat-Transfer-Equipment,M312,Heat Transfer Equipment,1.35,0.25,TRUE,0,0,0,0,"The correct answer is Single pass on shell side and double pass on the tube side. This item checks the accepted term, value, or principle used in Heat Transfer Equipment.","Explain key concepts, terms, and operating principles under Heat Transfer Equipment."
1541,Elements,Module 4 - Industrial Plant Design,Industrial Plant Design,Easy,1,A correction of LMTD is essential in case of:,Parallel flow hear exchanger,Counter current heat exchanger,Cross flow heat exchanger,None of the above,C,PRC-PPE-28-Heat-Transfer-Equipment,M312,Heat Transfer Equipment,1.35,0.25,TRUE,0,0,0,0,"The correct answer is Cross flow heat exchanger. This item checks the accepted term, value, or principle used in Heat Transfer Equipment.","Explain key concepts, terms, and operating principles under Heat Transfer Equipment."
1548,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Easy,1,Radiant heat transfer is described by :,Newton’s Law,Fourier’s Law,The Logarithmic mean temperature,Kirchoff’s Law,D,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"The correct answer is Kirchoff’s Law. This item checks the accepted term, value, or principle used in Heat Transfer.","Explain key concepts, terms, and operating principles under Heat Transfer."
1551,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Easy,1,Heat is conducted in the direction of:,Increasing temperature,Decreasing temperature,Increasing and decreasing temperature,Constant temperature,B,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"The correct answer is Decreasing temperature. This item checks the accepted term, value, or principle used in Heat Transfer.","Explain key concepts, terms, and operating principles under Heat Transfer."
1552,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Easy,1,The heat transfer term in the first law of thermodynamics may be due to any of the following except:,Conduction,Convection,Radiation,"Internal heat generation(e.g., chemical reaction)",D,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"The correct answer is Internal heat generation(e.g., chemical reaction). This item checks the accepted term, value, or principle used in Heat Transfer.","Explain key concepts, terms, and operating principles under Heat Transfer."
1553,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Easy,1,All heat transfer processes require a medium of energy exchange except:,Conduction,Natural convection,Forced convection,Radiation,D,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"The correct answer is Radiation. This item checks the accepted term, value, or principle used in Heat Transfer.","Explain key concepts, terms, and operating principles under Heat Transfer."
1554,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Easy,1,Thermal conduction is described by:,Newton’s Law,The logarithmic mean temperature difference,The Stefan – Boltzmann law,Fourier’s Law,D,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"The correct answer is Fourier’s Law. This item checks the accepted term, value, or principle used in Heat Transfer.","Explain key concepts, terms, and operating principles under Heat Transfer."
1555,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Easy,1,Convection is described of which of the following law:,Newton’s Law,The logarithmic mean temperature difference,The Stefan – Boltzmann law,Fourier’s Law,A,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"The correct answer is Newton’s Law. This item checks the accepted term, value, or principle used in Heat Transfer.","Explain key concepts, terms, and operating principles under Heat Transfer."
1556,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Easy,1,Radiation heat transfer is described by:,Newton’s Law,The logarithmic mean temperature difference,The Stefan – Boltzmann law,Fourier’s Law,C,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"The correct answer is The Stefan – Boltzmann law. This item checks the accepted term, value, or principle used in Heat Transfer.","Explain key concepts, terms, and operating principles under Heat Transfer."
1557,Elements,Module 1 - Power Plant Elements,Power Plant Elements,Easy,1,The equivalent of ratio of emissive power to absorptivity for bodies in thermal equilibrium is described by:,Newton’s Law,The logarithmic mean temperature difference,Fourier’s law,Kirchoff’s law,D,PRC-PPE-05-Heat-Transfer,M312,Heat Transfer,1.35,0.25,TRUE,0,0,0,0,"The correct answer is Kirchoff’s law. This item checks the accepted term, value, or principle used in Heat Transfer.","Explain key concepts, terms, and operating principles under Heat Transfer."
